Week,Team,Team_Score,Opponent,Opponent_Score
1,Lions,21,Chiefs,20
1,Chiefs,20,Lions,21
1,Buccaneers,20,Vikings,17
1,Vikings,17,Bucaneers,20
1,Titans,15,Saints,16
1,Saints,16,Titans,15
1,Panthers,10,Falcons,24
1,Falcons ,24,Panthers,10
1,Texans,9,Ravens,25
1,Ravens,25,Texans,9
1,49ers,30,Steelers,7
1,Steelers,7,49ers,30
1,Cardinals,16,Commanders,20
1,Commanders,20,Cardinals,16
1,Bengals,3,Browns,24
1,Browns,24,Bengals,3
1,Jaguars,31,Colts,21
1,Colts,21,Jaguars,31
1,Dolphins,36,Chargers,34
1,Chargers,34,Dolphins,36
1,Rams,30,Seahawks,13
1,Seahawks,13,Rams,30
1,Raiders,17,Broncos,16
1,Broncos,16,Raiders,17
1,Packers,38,Bears,20
1,Bears,20,Packers,38
1,Eagles,25,Patriots,20
1,Patriots,20,Eagles,25
1,Cowboys,40,Giants,0
1,Giants,0,Cowboys,40
1,Bills,16,Jets,22
1,Jets,22,Bills,16
2,Vikings,28,Eagles,34
2,Eagles,34,Vikings,28
2,Colts,31,Texans,20
2,Texans,20,Colts,31
2,Chargers,24,Titans,27
2,Titans,27,Chargers,24
2,Seahawks,37,Lions,31
2,Lions,31,Seahawks,37
2,Packers,24,Falcons,25
2,Falcons ,25,Packers,24
2,Raiders,10,Bills,38
2,Bills,38,Raiders,10
2,Ravens,27,Bengals,24
2,Bengals,24,Ravens,27
2,Chiefs,17,Jaguars,9
2,Jaguars,9,Chiefs,17
2,Bears,17,Bucaneers,27
2,Buccaneers,27,Bears,17
2,Giants,31,Cardinals,28
2,Cardinals,28,Giants,31
2,49ers,30,Rams,23
2,Rams,23,49ers,30
2,Commanders,35,Broncos,33
2,Broncos,33,Commanders,35
2,Jets,10,Cowboys,30
2,Cowboys,30,Jets,10
2,Dolphins,24,Patriots,17
2,Patriots,17,Dolphins,24
2,Saints,20,Panthers,17
2,Panthers,17,Saints,20
3,Giants,12,49ers,30
3,49ers,30,Giants,12
3,Falcons ,6,Lions,20
3,Lions,20,Falcons,6
3,Chargers,28,Vikings,24
3,Vikings,24,Chargers,28
3,Saints,17,Packers,18
3,Packers,18,Saints,17
3,Texans,37,Jaguars,17
3,Jaguars,17,Texans,37
3,Broncos,20,Dolphins,70
3,Dolphins,70,Broncos,20
3,Titans,3,Browns,27
3,Browns,27,Titans,3
3,Bills,37,Commanders,3
3,Commanders,3,Bills,37
3,Colts,22,Ravens,19
3,Ravens,19,Colts,22
3,Patriots,15,Jets,10
3,Jets,10,Patriots,15
3,Panthers,27,Seahawks,37
3,Seahawks,37,Panthers,27
3,Bears,10,Chiefs,41
3,Chiefs,41,Bears,10
3,Cowboys,16,Cardinals,28
3,Cardinals,28,Cowboys,16
3,Steelers,23,Raiders,18
3,Raiders,18,Steelers,23
3,Eagles,25,Buccaneers,11
3,Buccaneers,11,Eagles,25
3,Rams,16,Bengals,19
3,Bengals,19,Rams,16
